variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_1066	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
traY	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
umuC_1	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
group_1099	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
repB	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
group_1101	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
papB	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
group_1103	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
group_1104	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
faeE	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
group_1106	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
group_1108	0.775	4.96e-07	0.0111	0.562	0.218	0.231		0.9666666666666667	0.03333333333333333	0.5833333333333334	0.4166666666666667	58	2	35	25
ail_1	0.775	4.6200000000000003e-08	0.000164	0.662	0.17	0.337	bad-chisq	0.9833333333333333	0.016666666666666666	0.5666666666666667	0.43333333333333335	59	1	34	26
