variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_1356	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1357	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1358	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1366	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_1367	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
group_796	0.217	9.35e-06	0.124	0.602	0.38799999999999996	0.141		0.05	0.95	0.38333333333333336	0.6166666666666667	3	57	23	37
clpV1_2	0.20800000000000002	2.3399999999999998e-07	0.6709999999999999	-0.13	0.306	0.0392	bad-chisq	0.016666666666666666	0.9833333333333333	0.4	0.6	1	59	24	36
group_832	0.20800000000000002	2.3399999999999998e-07	0.38299999999999995	-0.299	0.341	0.0804	bad-chisq	0.016666666666666666	0.9833333333333333	0.4	0.6	1	59	24	36
group_833	0.20800000000000002	2.3399999999999998e-07	0.38299999999999995	-0.299	0.341	0.0804	bad-chisq	0.016666666666666666	0.9833333333333333	0.4	0.6	1	59	24	36
group_834	0.20800000000000002	2.3399999999999998e-07	0.38299999999999995	-0.299	0.341	0.0804	bad-chisq	0.016666666666666666	0.9833333333333333	0.4	0.6	1	59	24	36
group_835	0.20800000000000002	2.3399999999999998e-07	0.38299999999999995	-0.299	0.341	0.0804	bad-chisq	0.016666666666666666	0.9833333333333333	0.4	0.6	1	59	24	36
group_1292	0.2	0.171	0.24100000000000002	0.0971	0.0823	0.10800000000000001		0.25	0.75	0.15	0.85	15	45	9	51
group_1870	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1871	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1872	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1873	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1874	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1875	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1876	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1877	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1878	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1879	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1880	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1881	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1882	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1883	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1884	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1885	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1886	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1887	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1888	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1889	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1890	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
pliG	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1892	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1893	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1894	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1895	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
klcA	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1897	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1898	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1899	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
yhdJ_1	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1901	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1902	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1903	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1904	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1905	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1906	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1907	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1908	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1909	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1910	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1911	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1912	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1913	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1914	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1915	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
traI	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
ylpA	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1918	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1919	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1920	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1921	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
traQ	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1923	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1924	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1925	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1926	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1927	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1928	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1929	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1930	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
traC	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1932	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1933	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
traR	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
traV	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1936	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1937	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
psiB	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1939	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
ssb_1	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1942	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1943	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1944	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1945	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1946	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1947	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1948	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1950	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1951	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1952	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1953	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1954	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1955	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1956	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1957	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1958	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1959	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1960	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
ssb_3	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1962	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1963	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1964	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1965	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1967	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1968	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1969	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
lexA_2	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1971	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1972	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1973	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1974	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1975	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1976	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1977	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1978	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1979	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1980	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1981	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1982	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1983	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1984	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1985	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1986	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_1988	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2008	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2025	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2026	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
ail_3	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2028	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2029	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2030	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2031	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2032	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2033	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2034	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2035	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2036	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
clpP_2	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2038	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2039	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2040	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2041	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2042	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2043	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
dnaT_2	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2045	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2046	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2047	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2048	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2049	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2050	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2051	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
group_2052	0.2	5.15e-07	0.8270000000000001	-0.43	1.96	0.0201	bad-chisq	0.016666666666666666	0.9833333333333333	0.38333333333333336	0.6166666666666667	1	59	23	37
